_id,lat,lon,region,name_en,name_ru,official_status
288096530,59.0146060,54.6641350,Пермский край,Kudymkar,Кудымкар,город
288115144,58.3740010,58.3250580,Пермский край,Gornozavodsk,Горнозаводск,город
288119622,58.6981697,59.4810114,Свердловская область,Kachkanar,Качканар,город
288126203,59.6051267,60.5733483,Свердловская область,Serov,Серов,город
288418650,54.0799640,42.8374250,Мордовия,Zubova Polyana,Зубова Поляна,рабочий посёлок
288419752,53.1125140,46.6007270,Пензенская область,Kuznetsk,Кузнецк,город
288472058,55.4908093,60.8776278,Челябинская область,Argayash,Аргаяш,село
288476845,55.7099215,60.5511275,Челябинская область,Kyshtym,Кыштым,город
288477933,56.0520290,60.2264480,Челябинская область,Verkhniy Ufaley,Верхний Уфалей,город
288795864,52.9197040,78.5635680,Алтайский край,Yarovoye,Яровое,город
289011795,57.2829207,55.4602059,Пермский край,Osa,Оса,город
289146963,57.0052746,61.4580765,Свердловская область,Asbest,Асбест,город
289464809,55.0859006,82.6440062,Новосибирская область,,Криводановка,село
289835271,52.0131939,86.5442210,Республика Алтай,Choya,Чоя,село
289843365,53.3883480,103.8774570,Иркутская область,Osa,Оса,село
289890249,52.5665590,78.9354480,Алтайский край,Kulunda,Кулунда,село
289980364,55.0490910,74.5824280,Омская область,Kalachinsk,Калачинск,город
289992321,55.3710330,74.3625560,Омская область,Gorkovskoye,Горьковское,рабочий посёлок
289994080,54.2096900,72.9655380,Омская область,Odesskoye,Одесское,село
289996348,53.7803570,73.8821030,Омская область,Russkaya Polyana,Русская Поляна,рабочий посёлок
290070312,55.4858090,60.2095410,Челябинская область,Karabash,Карабаш,город
290215681,54.7039680,78.6675950,Новосибирская область,Zdvinsk,Здвинск,село
290330613,54.2831380,86.1047590,Кемеровская область,Bachatsky,Бачатский,посёлок городского типа
290611540,57.1161230,61.3976630,Свердловская область,Malysheva,Малышева,посёлок городского типа
290781841,65.7934285,87.9589375,Красноярский край,Turukhansk,Туруханск,село
290875518,54.5156060,36.7624590,Калужская область,,Ферзиково,посёлок городского типа
290875724,54.4746020,36.0500980,Калужская область,,Воротынск,посёлок городского типа
290875760,54.7426018,35.9977093,Калужская область,,Полотняный Завод,посёлок городского типа
290884076,50.3920940,106.1061400,Бурятия,Naushki,,посёлок городского типа
290884279,57.2470470,60.0958180,Свердловская область,Novouralsk,Новоуральск,город
290884698,57.4924036,60.2105408,Свердловская область,Nevyansk,Невьянск,город
290885736,59.0527340,60.5959740,Свердловская область,Novaya Lyalya,Новая Ляля,город
290889369,52.0554080,106.6543200,Бурятия,Kabansk,Кабанск,село
290905151,44.3170538,38.7043664,Краснодарский край,Dzhubga,Джубга,посёлок городского типа
290911788,43.6590048,39.6544373,,Dagomys,Дагомыс,посёлок городского типа
291558905,55.3832210,91.6152730,Красноярский край,Balakhta,Балахта,посёлок городского типа
291614444,52.3161330,34.0759496,Брянская область,Suzemka,Суземка,посёлок городского типа
291860771,54.3455010,84.2106700,Новосибирская область,Maslyanino,Маслянино,рабочий посёлок
291942235,56.4421080,60.1658590,Свердловская область,Polevskoy,Полевской,город
292226474,69.4009250,32.4413340,Мурманская область,Zaozersk,Заозёрск,город
292231968,69.2503590,33.3152810,Мурманская область,Gadzhiyevo,Гаджиево,город
292235034,69.1995240,33.4458390,Мурманская область,Polyarny,Полярный,город
292879578,55.0416870,43.2455180,,Diveyevo,Дивеево,село
292885144,56.0870090,60.7326740,Челябинская область,Snezhinsk,Снежинск,город
292995540,44.7522963,33.8534782,,Bakhchysarai,Бахчисарай,город
293459034,68.8169560,32.8165050,Мурманская область,Murmashi,Мурмаши,посёлок городского типа
293459492,68.8806380,33.0197260,Мурманская область,Kola,Кола,город
293591177,55.6715707,84.3885570,Новосибирская область,Bolotnoye,Болотное,город
295072813,52.3659740,115.5509490,Забайкальский край,Vershino-Darasunsky,Вершино-Дарасунский,посёлок городского типа
295119416,56.1139351,88.5171814,Кемеровская область,Tyazhinskiy,Тяжинский,посёлок городского типа
295381557,45.2178027,39.6896725,Краснодарский край,Ust-Labinsk,Усть-Лабинск,город
295384821,45.1183262,39.4200463,Краснодарский край,Vasyurinskaya,Васюринская,станица
295385084,45.2120476,39.5670828,Краснодарский край,Voronezhskaya,Воронежская,станица
295385847,45.2962422,39.2662799,Краснодарский край,Plastunovskaya,Пластуновская,станица
295386031,45.3919810,39.3903857,Краснодарский край,Platnirovskaya,Платнировская,станица
295729620,45.0480573,38.7928963,Краснодарский край,Yelizavetinskaya,Елизаветинская,станица
295730787,45.1987319,38.5795212,Краснодарский край,Novomyshastovskaya,Новомышастовская,станица
295754500,45.2168713,39.2249757,Краснодарский край,Dinskaya,Динская,станица
295862317,54.9722866,48.2928964,Татарстан,Bua,Буинск,город
295864677,55.3714831,50.6367311,Татарстан,Çistay,Чистополь,город
295868224,56.0909916,49.8771828,Татарстан,Arça,Арск,город
295896340,56.8558465,41.3838496,Ивановская область,Shuya,Шуя,город
295902357,53.2780460,92.3960880,Красноярский край,Yermakovskoye,Ермаковское,село
295939729,53.3278200,91.9453740,Красноярский край,Shushenskoye,Шушенское,посёлок городского типа
295945680,52.8483770,91.4203800,,Cheremushki,Черёмушки,посёлок городского типа
295952416,53.8880920,92.6802220,Красноярский край,Kuragino,Курагино,посёлок городского типа
296081305,57.5579577,49.9294668,Кировская область,Nolinsk,Нолинск,город
296086848,57.5052656,50.5021661,Кировская область,Nema,Нема,посёлок городского типа
296087893,56.9449015,51.0613993,Кировская область,Kilmez,Кильмезь,посёлок городского типа
296100014,56.5206314,50.6775905,Кировская область,Malmyzh,Малмыж,город
296113691,57.1101118,50.0003067,Кировская область,Urzhum,Уржум,город
296120086,57.1081378,51.6147316,Удмуртия,Syumsi,Сюмси,село
296130162,56.9826616,52.1884394,,Uva,Ува,посёлок
296134100,55.9407976,46.2006586,Чувашия,Yadrin,Ядрин,город
296138675,55.8705560,72.1966170,Омская область,Tyukalinsk,Тюкалинск,город
296140782,55.2400890,72.9238890,Омская область,Krasny Yar,Красный Яр,рабочий посёлок
296161951,44.7614149,39.8712943,Краснодарский край,Belorechensk,Белореченск,город
296346416,45.5806221,39.6574237,Краснодарский край,Vyselki,Выселки,станица
296362274,44.9864341,38.9382841,Адыгея,Yablonovskiy,Яблоновский,посёлок городского типа
296362277,44.9230727,38.9071424,Адыгея,Enem,Энем,посёлок городского типа
296376882,44.9040435,38.8426821,Краснодарский край,Afipskiy,Афипский,посёлок городского типа
296376924,44.8534210,38.6781253,Краснодарский край,Severskaya,Северская,станица
296379510,44.8545750,38.5702615,Краснодарский край,Ilskiy,Ильский,посёлок городского типа
296379511,44.9295889,37.9880177,Краснодарский край,Krymsk,Крымск,город
296410521,56.5006820,56.0762788,Пермский край,Chernushka,Чернушка,город
296422834,56.4335060,55.5907630,Пермский край,,Куеда,посёлок
296537017,44.8851635,40.5894674,Краснодарский край,Kurganinsk,Курганинск,город
296884989,45.4856626,38.6598137,Краснодарский край,Kalininskaya,Калининская,станица
296886272,45.8006166,39.0003034,Краснодарский край,Bryukhovetskaya,Брюховецкая,станица
296886273,45.8446730,39.0218580,Краснодарский край,Pereyaslovskaya,Переясловская,станица
296886274,46.0848847,38.9724318,Краснодарский край,Kanevskaya,Каневская,станица
296886275,46.1277738,38.9713729,Краснодарский край,Staroderevyankovskaya,Стародеревянковская,станица
296937624,45.1212920,37.6387370,Краснодарский край,Varenikovskaya,Варениковская,станица
296992985,45.2188185,37.1480059,Краснодарский край,Starotitarovskaya,Старотитаровская,станица
297082357,45.3635681,40.1898342,Краснодарский край,Tbilisskaya,Тбилисская,станица
297082471,45.3076593,39.9268511,Краснодарский край,Ladozhskaya,Ладожская,станица
297513007,50.6317434,87.9561929,,Ulagan,Улаган,село
297546021,55.1464270,40.5502470,Рязанская область,Tuma,Тума,посёлок городского типа
297851423,45.4525812,39.0167858,Краснодарский край,Medvyodovskaya,Медведовская,станица
297958919,44.8432658,38.3950178,Краснодарский край,Kholmskaya,Холмская,станица
